CS1(0+068)		
68.39	15.52	
71.47	15.56	
75.22	15.65	
78.13	15.75	
82.19	15.81	
CS12(1+145)		
-58.82	14	
-54.05	14	
-48.76	14.01	
-41.92	13.98	
-36.67	13.96	
-32.76	14.06	
-28.73	14.02	
-23.78	14	
-18.87	13.96	
-14.1	13.9	
-8.76	14.08	
-4.19	13.59	
-2.23	13.4	
0	13.38	河口
1.05	12.73	
2.24	11.95	
2.74	11.62	水
4.35	11.12	
4.35	10.8	
7.18	10.6	
7.2	11	
10.18	11	
10.18	10.6	
12.59	10.8	
12.61	11.12	
14.15	11.34	
14.16	11.19	
14.96	11.62	水
16.33	12.54	
17.17	13.06	河口
19.05	13.14	
22.13	13.03	
24.42	13.05	
27.28	13.01	
30.38	13.02	
34.77	13.22	
39.45	13.27	
41.55	13.84	
43.06	14.51	
43.83	14.55	
46.3	14.56	
47.93	14.71	
51.2	14.8	
56.17	14.99	
60.47	15.19	
66.7	15.3	
72.25	15.48	
CS13(1+246)		
-24.57	13.43	栅栏
-21.26	13.7	
-17.94	13.87	
-13.93	13.84	
-10.2	14.04	
-7.83	14.03	
-5.81	13.99	
-3.41	13.95	
-1.13	13.87	
0	13.64	河口
1.15	12.91	
2.21	11.65	水
3.51	11.17	
3.51	11.33	
4.94	11.12	
4.94	10.8	
6.56	10.6	
6.58	11	
9.56	11	
9.56	10.6	
11.97	10.8	
11.99	11.12	
13.02	11.22	
13.03	11.05	
14.19	11.65	水
15.65	12.34	
16.66	12.63	河口
18.62	13.26	
21.1	13.83	
23.28	14.38	
25.2	14.7	
27.17	14.7	
35.01	14.5	
37.6	14.45	
39.23	14.97	
39.89	15.08	
42.16	15.08	
45.7	15.19	
50.18	15.16	
53.22	15.16	
57.35	15.12	
61.97	15.16	
65.99	15.13	
68.09	15.3	
71.52	15.29	
CS14(1+357)		
-45.97	14.97	
-42.7	14.92	
-40.11	14.88	
-36.98	14.66	
-32.57	14.45	
-27.85	14.41	
-24.92	14.32	
-20.46	14.12	
-16.63	13.84	
-11.63	13.51	
-8.23	13.07	
-5.34	12.94	
-1.97	12.9	
0	12.86	河口
0.92	12.17	
2.02	11.82	
3.04	11.68	水
4.05	11.14	
4.08	10.94	
5.26	10.88	
5.26	10.68	
7.35	10.8	
7.36	10.5	
10.61	10.7	
10.62	10.3	
13.03	10.1	
13.04	10.6	
16.21	10.1	
16.22	10.6	
21.21	10	
21.21	10.5	
27.55	10	
27.58	10.5	
32.04	10.1	
32.05	10.6	
39.3	10.6	
39.31	10.1	
47.49	10.6	
47.51	10.1	
49.49	10.7	
49.52	10.3	
51.49	10.8	
51.52	10.5	
53.49	10.68	
53.49	10.88	
55.92	11.27	
57.49	11.68	水
58.9	12.58	
60.86	13.12	河口
61.68	13.2	
62.65	13.56	
63.6	13.55	
64.66	13.29	
66.17	13.3	
67.95	13.33	
70.15	13.41	
72.52	13.81	
75.89	14.11	
77.48	14.71	
80.18	14.99	
81.2	15.26	
82.31	15.53	
83.37	15.54	
85.71	15.59	
87.83	15.65	
90	15.75	
93.06	15.75	
95.69	15.7	
99.47	15.68	
102.93	15.65	
106.47	15.61	
110.06	15.6	
CS15(1+447)		
-26.67	14.71	
-20.73	14.52	
-16.24	14.36	
-11.62	14.29	
-7.07	14.12	
-4.77	14.06	
-2.07	13.61	
0	13.27	河口
1.19	12.84	
2.12	11.7	水
3.75	11.19	
3.79	11.01	
5.01	11.1	
5.01	10.8	
6.38	10.9	
6.38	10.5	
8.98	10.7	
8.98	10.2	
11.12	10.2	
11.12	10.7	
13.65	10.5	
13.65	9.9	
18.36	10.5	
18.4	9.9	
23.43	10.5	
23.44	9.9	
27.76	10.5	
27.78	10	
30.44	10.7	
30.44	10.2	
32.44	10.9	
32.45	10.4	
34.44	11.1	
34.44	10.7	
36.15	11.45	
36.18	11.08	
37.36	11.25	
37.39	11.48	
38.44	11.7	水
40.18	12.99	
42.04	13.41	
44.31	13.45	河口
46.56	13.48	
49.63	13.61	
53.73	13.62	
55.62	13.57	
57.46	13.56	
60.93	13.66	
63.16	13.79	
64.85	13.77	
66.64	13.75	
67.45	13.8	
70.16	13.86	
72.55	13.9	
75.66	13.97	
76.89	14.69	
77.65	15.07	
78.9	15.43	
79.95	15.44	
80.89	15.56	
82.78	15.61	
84.37	16.06	
87.28	15.91	
90.85	15.9	
95.07	15.92	
100.3	15.94	
105.43	15.94	
109.39	15.94	
CS16(1+535)		
-55.46	14.04	
-51.35	14.03	
-47.81	14.02	
-42.92	13.98	
-39.18	13.99	
-36.48	13.92	
-35.34	12.59	
-34.6	12.4	
-33.67	12.4	
-32.45	12.59	
-31.41	13.7	
-28.64	13.75	
-25.64	13.88	
-22.39	13.96	
-19.57	14.01	
-16.3	14.04	
-13.73	14.03	
-10.95	14.02	
-9.17	13.98	
-7	13.96	
-5.35	13.79	
-3.54	13.02	
-1.67	12.57	
0	12.06	河口
0.72	11.77	
1.47	11.65	水
2.49	11.38	
2.5	11.15	
3.47	11.05	
3.47	10.75	
5.47	10.85	
5.47	10.45	
5.47	10.45	
7.47	10.25	
7.47	10.65	
9.47	10.45	
9.47	9.95	
11.47	9.85	
11.47	10.35	
15.58	10.3	
15.58	9.8	
19.59	10.3	
19.62	9.8	
25	10.35	
25	9.85	
27	9.95	
27	10.45	
29	10.25	
29	10.65	
31	10.45	
31	10.85	
33	10.75	
33.01	11.05	
34.92	11.65	水
36.63	11.74	
37.74	12.37	河口
39.39	13.27	
41.56	13.53	
44.36	13.5	
47.55	13.55	
50.09	13.51	
51.45	13.78	
53.46	13.82	
55.01	13.91	
57.46	14.1	
60.71	14.59	
65.18	14.83	
69.14	14.95	
